Unnamed: 0,movie_id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,keywords,release_year
1533,1621,Trading Places,7.202,2929,Released,1983-06-07,90404800.0,116.0,0,15000000.0,tt0086465,en,Trading Places,A snobbish investor and a wily street con-artist find their positions reversed as part of a bet by two callous millionaires.,25.555,They're not just getting rich... They're getting even.,Comedy,"Cinema Group Ventures, Paramount",United States of America,English,"prostitute, philadelphia, pennsylvania, butler, christmas party, rags to riches, broker, beggar, wager, stockbroker, fish out of water, millionaire, commodities, investor, hoodlum, wrongful arrest, rich snob, christmas, riches to rags, christmas eve",1983.0
1534,167073,Brooklyn,7.31,2929,Released,2015-10-20,62076141.0,111.0,0,11000000.0,tt2381111,en,Brooklyn,"In 1950s Ireland and New York, young Eilis Lacey has to choose between two men and two countries.",15.519,"Two countries, two loves, one heart","Romance, Drama","Wildgaze Films, Item 7, Parallel Films, Fís Éireann/Screen Ireland","Ireland, United Kingdom, Canada",English,"ship, based on novel or book, love triangle, homesickness, marriage, community, working class, boarding house, suburb, ireland, brooklyn, new york city, journey, irish immigrant, 1950s",2015.0
1535,100042,Dumb and Dumber To,5.545,2922,Released,2014-11-12,169837010.0,110.0,0,40000000.0,tt2096672,en,Dumb and Dumber To,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.",37.438,The average person uses 10% of their brain capacity. Imagine what he could do with 1%.,Comedy,"New Line Cinema, Universal Pictures, Conundrum Entertainment, Red Granite Pictures",United States of America,English,"friendship, road trip, sequel, buddy comedy",2014.0
1538,2005,Sister Act,6.823,2922,Released,1992-05-28,231605150.0,100.0,0,31000000.0,tt0105417,en,Sister Act,"A Reno singer witnesses a mob murder and the cops stash her in a nunnery to protect her from the mob's hitmen. The mother superior does not trust her, and takes steps to limit her influence on the other nuns. Eventually the singer rescues the failing choir and begins helping with community projects, which gets her an interview on TV—and identification by the mob.",27.233,No booze! No sex! No drugs!... No way!,"Music, Comedy","Touchstone Pictures, Touchwood Pacific Partners 1",United States of America,English,"concert, nun, church choir, witness protection, gospel, singer, murder, singing nun, fish out of water, witness to murder, mother superior, monastery, catholic church, mob boss",1992.0
1539,19959,Surrogates,6.097,2920,Released,2009-09-24,122444772.0,89.0,0,80000000.0,tt0986263,en,Surrogates,"Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.",19.717,How do you save humanity when the only thing that's real is you?,"Science Fiction, Action, Thriller","Wintergreen Productions, Touchstone Pictures, Mandeville Films, Top Shelf Productions",United States of America,"English, French","future, clone, dystopia, based on comic, murder, robot, questioning",2009.0
1540,785084,The Whale,7.949,2917,Released,2022-12-09,55101305.0,116.0,0,3000000.0,tt13833688,en,The Whale,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,54.977,,Drama,"A24, Protozoa Pictures",United States of America,English,"regret, nurse, missionary, idaho, bible, redemption, overweight man, addiction, based on play or musical, teacher, grief, neighbor, obesity, religion, death of lover, election, rebellious daughter, guilt, death, lgbt, sister-in-law, eating disorder, father daughter reunion, empathy, shame, english teacher, abandonment, one location, father daughter relationship, 2010s, gay theme, apartment, essay, food addiction, religious symbolism",2022.0
1541,6557,27 Dresses,6.401,2916,Released,2008-01-10,160259319.0,111.0,0,30000000.0,tt0988595,en,27 Dresses,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,14.878,She's about to find the perfect fit.,"Comedy, Romance","Fox 2000 Pictures, Spyglass Entertainment, Dune Entertainment III",United States of America,English,"newspaper, new love, lovesickness, sibling relationship, wedding planner, witness, bride, bridesmaid, romantic comedy, sister, sibling rivalry, reporter, wedding, woman director, hilarious, cheerful, familiar",2008.0
1542,180863,T2 Trainspotting,6.946,2916,Released,2017-01-27,42067430.0,117.0,0,18000000.0,tt2763304,en,T2 Trainspotting,"After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud and Begbie.",21.127,Face your past. Choose your future.,"Drama, Comedy","Creative Scotland, DNA Films, TriStar Pictures, Decibel Films, Film4 Productions, Cloud Eight Films",United Kingdom,"Bulgarian, English","prison, friendship, based on novel or book, fight, scotland, blackmail, heroin, drug addiction, junkie, cocaine, nightclub, edinburgh, scotland, addiction, sequel, prison escape, revenge, extortion, theft, bar fight, social realism, council estate, bulgarian",2017.0
1543,76025,Shame,6.953,2916,Released,2011-10-02,3909002.0,102.0,0,6500000.0,tt1723811,en,Shame,"Brandon, a thirty-something man living in New York, eludes intimacy with women but feeds his deepest desires with a compulsive addiction to sex. When his younger sister temporarily moves into his apartment, stirring up bitter memories of their shared painful past, Brandon's life, like his fragile mind, gets out of control.",24.812,,Drama,"HanWay Films, See-Saw Films, Lipsync Productions, Alliance Films, Film4 Productions, UK Film Council","Canada, United Kingdom",English,"new york city, pornography, sex addiction, co-workers relationship, internet porn, self-loathing, brother sister relationship",2011.0
1544,664,Twister,6.47,2914,Released,1996-05-10,494471524.0,113.0,0,92000000.0,tt0117998,en,Twister,"An unprecedented series of violent tornadoes is sweeping across Oklahoma. Tornado chasers, headed by Dr. Jo Harding, attempt to release a groundbreaking device that will allow them to track them and create a more advanced warning system. They are joined by Jo's soon to be ex-husband Bill, a former tornado chaser himself, and his girlfriend Melissa.",23.135,Don't breathe. Don't look back.,"Action, Adventure, Drama","Constant c Productions, Universal Pictures, Amblin Entertainment, Warner Bros. Pictures, Twister Productions",United States of America,English,"husband wife relationship, climate, tornado, twister, natural disaster, oklahoma, metereologist, invention, storm chaser, barn, truck, disaster, divorce, disaster movie, motley crew",1996.0
1545,146,"Crouching Tiger, Hidden Dragon",7.409,2914,Released,2000-07-06,213525736.0,120.0,0,17000000.0,tt0190332,zh,卧虎藏龍,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.",25.021,"A timeless story of strength, secrets and two warriors who would never surrender.","Adventure, Drama, Action, Romance","China Film Co-Production Corporation, Columbia Pictures Film Production Asia, Good Machine, Asia Union Film & Entertainment Ltd., United China Vision, Zoom Hunt International Productions Company Ltd., Columbia Pictures, Sony Pictures Classics, Edko Films, Ang Lee Productions","China, Hong Kong, Taiwan, United States of America",Mandarin,"martial arts, kung fu, based on novel or book, flying, taskmaster, sword, tiger, villainess, mountain, comb, fistfight, sword fight, thief, revenge, theft, historical, female martial artist, 18th century, wuxia, warrior, bamboo, tavern fight, action hero, qing dynasty",2000.0
1546,59,A History of Violence,7.168,2906,Released,2005-09-23,60740827.0,96.0,0,32000000.0,tt0399146,en,A History of Violence,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,21.136,Tom Stall had the perfect life … until he became a hero.,"Drama, Thriller, Crime","New Line Cinema, BenderSpink","Canada, Germany, United States of America",English,"small town, hero, robbery, indiana, usa, distrust, philadelphia, pennsylvania, dual identity, double life, fight, identity, self-defense, marriage, diner, mistaken identity, based on comic, family relationships, irish mob, revenge, mobster, lawyer, attempted robbery, based on graphic novel, graphic violence",2005.0
1547,263472,Knock Knock,5.339,2904,Released,2015-06-26,6341684.0,99.0,0,2500000.0,tt3605418,en,Knock Knock,"When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse.",33.974,One night can cost you everything.,Thriller,"Sobras International Pictures, Lionsgate Premiere, UFA, Black Bear Pictures, Camp Grey, Elevated Films, Movie Trailer House, Rogovin Brothers, Dragonfly Entertainment","Chile, Germany, Israel, United States of America","Spanish, English","adultery, infidelity, cake, disc jockey, rain, architect, seduction, torture, art, home invasion, extramarital affair, threesome, seductress, erotic thriller, married man",2015.0
1548,238615,Self/less,6.409,2904,Released,2015-07-10,31807156.0,117.0,0,26000000.0,tt2140379,en,Self/less,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,36.46,God Created Man. Man Created Immortality.,"Science Fiction, Mystery, Thriller, Action","Ram Bergman Productions, Endgame Entertainment",United States of America,English,"immortality, lie, terminal illness, laboratory, cancer, doctor, body-swap, death, rich, false memory, soul transference, rich man, mind transfer, host body, body snatching, eternal",2015.0
1549,1375,Rocky V,5.767,2904,Released,1990-11-16,119946358.0,104.0,0,42000000.0,tt0100507,en,Rocky V,"A lifetime of taking shots has ended Rocky’s career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.",36.638,Go for it!,Drama,"United Artists, Winkler Films",United States of America,"English, Georgian","career, friendship, philadelphia, pennsylvania, transporter, cataclysm, sports, restart, parent child relationship, praise, trainer, bankrupt, boxer, training, street riots, world champion, challenger, sponsorship, challenge, champion, tax consultant, boxing school, father figure, boxing",1990.0
1551,5174,Rush Hour 3,6.4,2903,Released,2007-08-08,258022233.0,91.0,0,140000000.0,tt0293564,en,Rush Hour 3,"After a botched assassination attempt, the mismatched duo finds themselves in Paris, struggling to retrieve a precious list of names, as the murderous crime syndicate's henchmen try their best to stop them. Once more, Lee and Carter must fight their way through dangerous gangsters; however, this time, the past has come back to haunt Lee. Will the boys get the job done once and for all?",42.857,The Rush Is On!,"Action, Comedy, Crime","New Line Cinema, Roger Birnbaum Productions, Arthur Sarkissian Productions, Unlike Film Productions",United States of America,"Latin, English, French, Japanese, Mandarin","martial arts, ambassador, los angeles, california, interracial friendship, buddy cop, action hero",2007.0
1552,179144,The Great Beauty,7.509,2902,Released,2013-05-21,24930592.0,142.0,0,9200000.0,tt2358891,it,La grande bellezza,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",11.758,,Drama,"France 2 Cinéma, Indigo Film, Babe Films, Pathé","France, Italy","Italian, Japanese, Spanish, Mandarin","journalist, based on novel or book, rome, italy, alcohol, birthday, vatican, nightclub, giraffe, artist, beauty, satire, aging, love, church, art, drugs, flamingo",2013.0
